id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
803,Female,29,1,15.0,1,< 1 Year,No,37098.0,152.0,185,0
866,Male,60,1,28.0,0,1-2 Year,No,46684.0,26.0,280,0
331,Male,20,1,28.0,1,< 1 Year,No,31367.0,160.0,255,0
71,Male,44,1,47.0,0,1-2 Year,Yes,46481.0,16.0,100,0
863,Male,44,1,50.0,0,1-2 Year,Yes,35668.0,65.0,40,0
280,Male,25,1,28.0,1,< 1 Year,No,47031.0,26.0,151,0
731,Male,35,1,28.0,0,1-2 Year,Yes,33273.0,122.0,255,0
440,Female,49,1,8.0,0,1-2 Year,Yes,38022.0,124.0,197,0
955,Male,57,1,39.0,0,1-2 Year,Yes,2630.0,124.0,49,0
167,Female,28,1,44.0,0,1-2 Year,Yes,37570.0,156.0,258,1
552,Male,23,1,47.0,1,< 1 Year,No,35982.0,152.0,277,0
858,Male,36,1,8.0,0,1-2 Year,Yes,31149.0,124.0,207,0
579,Female,24,1,28.0,0,< 1 Year,Yes,31901.0,152.0,17,0
588,Female,72,1,28.0,0,1-2 Year,Yes,61819.0,122.0,35,0
103,Female,20,1,30.0,0,< 1 Year,Yes,33227.0,160.0,78,0
206,Male,21,1,30.0,0,< 1 Year,Yes,26720.0,160.0,64,0
172,Male,22,1,36.0,1,< 1 Year,No,36352.0,152.0,13,0
620,Female,41,1,28.0,0,1-2 Year,Yes,35524.0,124.0,13,1
992,Male,66,1,3.0,1,1-2 Year,No,2630.0,26.0,240,0
397,Male,31,1,28.0,0,< 1 Year,Yes,32883.0,26.0,132,0
315,Male,42,1,8.0,0,1-2 Year,Yes,35600.0,124.0,213,0
546,Male,46,1,8.0,1,1-2 Year,No,34727.0,124.0,229,0
994,Female,27,1,10.0,1,< 1 Year,No,30517.0,152.0,125,0
884,Male,83,1,41.0,1,1-2 Year,No,40935.0,124.0,166,0
526,Female,25,1,47.0,0,< 1 Year,Yes,40374.0,152.0,246,0
689,Male,61,1,8.0,0,> 2 Years,Yes,22257.0,124.0,171,1
677,Female,35,1,35.0,0,1-2 Year,Yes,37646.0,26.0,198,0
376,Male,38,1,28.0,0,1-2 Year,Yes,65212.0,124.0,32,0
151,Male,25,1,8.0,0,< 1 Year,Yes,54385.0,152.0,206,0
342,Male,47,1,41.0,1,1-2 Year,No,36809.0,26.0,226,0
971,Male,34,1,28.0,0,1-2 Year,Yes,31177.0,26.0,103,1
354,Male,20,1,8.0,1,< 1 Year,No,38076.0,160.0,79,0
657,Male,53,1,13.0,0,1-2 Year,Yes,2630.0,26.0,90,0
287,Male,24,1,10.0,1,< 1 Year,No,35443.0,152.0,45,0
762,Female,40,1,28.0,0,1-2 Year,Yes,2630.0,124.0,197,1
388,Male,66,1,28.0,0,1-2 Year,No,42644.0,122.0,80,0
504,Female,51,1,28.0,0,1-2 Year,Yes,39214.0,26.0,15,0
894,Male,26,1,14.0,1,< 1 Year,No,2630.0,152.0,137,0
128,Female,22,1,25.0,0,< 1 Year,Yes,23955.0,160.0,22,0
30,Male,57,1,11.0,0,1-2 Year,Yes,25679.0,157.0,232,1
855,Female,30,1,28.0,1,< 1 Year,No,28647.0,152.0,190,0
656,Male,23,1,44.0,0,< 1 Year,Yes,29267.0,152.0,41,0
348,Female,42,1,28.0,0,1-2 Year,Yes,39977.0,124.0,276,0
553,Female,44,1,28.0,1,1-2 Year,No,34612.0,26.0,62,0
757,Female,53,1,33.0,0,1-2 Year,Yes,47367.0,124.0,254,0
294,Female,28,1,6.0,1,< 1 Year,No,18683.0,152.0,215,0
431,Male,48,1,8.0,0,1-2 Year,Yes,42100.0,124.0,247,1
825,Female,26,1,9.0,1,< 1 Year,No,37801.0,152.0,121,0
373,Male,45,1,28.0,0,> 2 Years,Yes,49145.0,122.0,222,1
901,Female,28,1,2.0,1,< 1 Year,No,30514.0,152.0,65,0
678,Male,71,1,28.0,1,1-2 Year,No,33685.0,122.0,10,0
80,Male,77,1,37.0,1,1-2 Year,No,40651.0,124.0,183,0
976,Female,23,1,46.0,0,< 1 Year,Yes,47385.0,152.0,277,0
830,Male,23,1,29.0,1,< 1 Year,No,36838.0,152.0,182,0
783,Female,23,1,30.0,1,< 1 Year,No,26275.0,152.0,108,0
872,Male,29,1,50.0,0,< 1 Year,Yes,32200.0,124.0,79,0
647,Male,30,1,28.0,0,1-2 Year,Yes,2630.0,157.0,298,0
589,Female,25,1,6.0,0,< 1 Year,Yes,2630.0,152.0,288,0
792,Female,20,1,2.0,1,< 1 Year,Yes,31207.0,160.0,195,0
681,Male,22,1,41.0,1,< 1 Year,No,31827.0,152.0,69,0
126,Male,49,1,28.0,0,1-2 Year,Yes,2630.0,124.0,88,0
349,Female,31,1,28.0,0,1-2 Year,Yes,39423.0,124.0,190,0
343,Female,49,1,28.0,0,1-2 Year,Yes,48505.0,124.0,271,0
317,Male,54,1,6.0,1,1-2 Year,No,24515.0,124.0,93,0
96,Female,23,1,30.0,0,< 1 Year,No,26689.0,152.0,254,0
592,Female,25,1,24.0,1,< 1 Year,No,2630.0,152.0,36,0
363,Female,50,1,28.0,0,1-2 Year,Yes,68147.0,30.0,218,0
778,Male,20,1,13.0,0,< 1 Year,Yes,2630.0,160.0,222,0
127,Male,23,1,41.0,1,< 1 Year,No,33307.0,152.0,147,0
514,Female,26,1,15.0,1,< 1 Year,No,32553.0,152.0,97,0
152,Male,27,1,28.0,0,< 1 Year,Yes,26732.0,152.0,282,0
16,Male,37,1,6.0,0,1-2 Year,Yes,2630.0,156.0,147,1
611,Female,49,1,28.0,1,1-2 Year,No,2630.0,124.0,100,0
250,Male,41,1,11.0,1,1-2 Year,No,35614.0,26.0,152,0
337,Male,21,1,8.0,1,< 1 Year,No,27076.0,160.0,278,0
931,Female,51,1,28.0,0,1-2 Year,Yes,37564.0,26.0,252,1
848,Male,49,1,46.0,1,1-2 Year,No,2630.0,26.0,226,0
995,Female,58,1,28.0,0,1-2 Year,Yes,42064.0,26.0,163,0
255,Male,21,1,13.0,1,< 1 Year,No,37710.0,152.0,30,0
248,Female,43,1,28.0,0,1-2 Year,Yes,29578.0,31.0,203,1
173,Female,50,1,28.0,0,1-2 Year,Yes,36282.0,26.0,237,0
474,Female,24,1,8.0,0,< 1 Year,Yes,42636.0,152.0,155,0
626,Female,24,1,11.0,1,< 1 Year,No,38608.0,152.0,107,0
433,Female,45,1,28.0,0,1-2 Year,Yes,27616.0,26.0,134,0
313,Female,26,1,28.0,1,< 1 Year,No,44082.0,152.0,197,0
723,Female,42,1,28.0,1,1-2 Year,No,61279.0,26.0,224,0
922,Male,59,1,26.0,1,1-2 Year,No,47831.0,22.0,274,0
861,Male,42,1,28.0,0,1-2 Year,Yes,30408.0,124.0,74,1
77,Male,67,1,28.0,1,1-2 Year,No,31993.0,122.0,61,0
199,Female,26,1,26.0,1,< 1 Year,No,2630.0,152.0,142,0
362,Female,23,1,8.0,1,< 1 Year,No,42644.0,152.0,257,0
760,Male,25,1,32.0,1,< 1 Year,No,2630.0,160.0,114,0
927,Female,26,1,14.0,1,< 1 Year,No,42792.0,152.0,86,0
675,Female,37,1,28.0,0,1-2 Year,Yes,45037.0,26.0,238,1
473,Female,66,1,28.0,0,1-2 Year,Yes,30967.0,26.0,64,0
470,Female,23,1,28.0,1,< 1 Year,No,38010.0,152.0,177,0
804,Female,45,1,28.0,1,1-2 Year,No,2630.0,32.0,214,0
904,Female,51,1,50.0,0,< 1 Year,Yes,45869.0,122.0,100,0
871,Female,40,1,30.0,1,1-2 Year,No,30719.0,152.0,261,0
805,Female,26,1,28.0,1,< 1 Year,Yes,42200.0,26.0,251,0
53,Female,49,1,3.0,1,1-2 Year,No,25553.0,152.0,130,0
639,Male,52,1,28.0,1,1-2 Year,No,35031.0,26.0,88,0
694,Female,38,1,46.0,0,1-2 Year,Yes,2630.0,157.0,83,0
38,Female,25,1,28.0,1,< 1 Year,No,76251.0,152.0,107,0
17,Female,25,1,45.0,0,< 1 Year,Yes,26218.0,160.0,256,0
400,Male,59,1,28.0,0,1-2 Year,Yes,44233.0,124.0,160,1
910,Female,36,1,33.0,0,1-2 Year,Yes,2630.0,160.0,180,0
568,Male,68,1,8.0,0,1-2 Year,Yes,112974.0,26.0,206,0
381,Male,47,1,28.0,1,1-2 Year,No,31269.0,124.0,213,0
171,Male,23,1,36.0,1,< 1 Year,No,52462.0,152.0,243,0
289,Male,26,1,10.0,0,< 1 Year,Yes,24115.0,152.0,69,0
319,Male,59,1,41.0,0,1-2 Year,Yes,2630.0,156.0,88,0
423,Female,36,1,46.0,0,< 1 Year,Yes,2630.0,1.0,94,0
711,Female,46,1,0.0,0,1-2 Year,Yes,2630.0,47.0,292,0
209,Male,24,1,6.0,1,< 1 Year,No,18576.0,151.0,245,0
357,Male,22,1,46.0,1,< 1 Year,Yes,28311.0,152.0,240,0
150,Female,22,1,11.0,1,< 1 Year,No,76651.0,152.0,258,0
377,Male,23,1,27.0,1,< 1 Year,No,26287.0,160.0,199,0
493,Male,29,1,37.0,0,1-2 Year,Yes,2630.0,154.0,66,0
718,Male,23,1,29.0,0,< 1 Year,Yes,28070.0,153.0,136,0
406,Female,66,1,47.0,0,1-2 Year,Yes,34757.0,26.0,92,0
809,Female,24,1,3.0,1,< 1 Year,Yes,29376.0,160.0,112,0
890,Female,25,1,22.0,1,< 1 Year,No,29364.0,152.0,88,0
14,Male,76,1,28.0,0,1-2 Year,Yes,36770.0,13.0,15,0
321,Female,40,1,29.0,0,1-2 Year,Yes,2630.0,157.0,77,0
929,Female,64,1,28.0,0,1-2 Year,Yes,54624.0,26.0,17,0
