id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
1,Male,44,1,28.0,0,> 2 Years,Yes,40454.0,26.0,217,1
2,Male,76,1,3.0,0,1-2 Year,No,33536.0,26.0,183,0
3,Male,47,1,28.0,0,> 2 Years,Yes,38294.0,26.0,27,1
4,Male,21,1,11.0,1,< 1 Year,No,28619.0,152.0,203,0
5,Female,29,1,41.0,1,< 1 Year,No,27496.0,152.0,39,0
6,Male,65,0,28.0,0,> 2 Years,Yes,40698.0,26.0,30,1
7,Male,54,1,28.0,0,> 2 Years,Yes,33719.0,26.0,23,0
8,Female,43,1,28.0,0,> 2 Years,No,29580.0,152.0,164,0
9,Male,23,1,28.0,0,< 1 Year,No,33475.0,152.0,60,0
10,Male,31,1,28.0,0,< 1 Year,No,37741.0,152.0,149,0
11,Male,35,1,28.0,0,1-2 Year,Yes,28912.0,152.0,37,1
12,Male,46,1,3.0,0,> 2 Years,Yes,38988.0,26.0,231,1
13,Male,50,1,28.0,0,> 2 Years,Yes,38246.0,26.0,141,0
14,Male,24,1,28.0,0,< 1 Year,Yes,25558.0,152.0,232,1
15,Male,58,1,28.0,0,> 2 Years,Yes,36635.0,26.0,227,0
16,Male,33,1,28.0,0,1-2 Year,No,29920.0,152.0,77,0
17,Male,37,1,28.0,0,1-2 Year,Yes,29310.0,152.0,44,1
18,Male,39,1,28.0,0,> 2 Years,Yes,26124.0,152.0,162,1
19,Male,28,1,28.0,0,< 1 Year,Yes,39505.0,152.0,9,1
20,Male,41,1,28.0,0,> 2 Years,Yes,39722.0,26.0,108,1
21,Male,25,1,28.0,0,< 1 Year,Yes,26920.0,152.0,136,1
22,Male,33,1,28.0,0,1-2 Year,Yes,29701.0,152.0,115,1
23,Male,47,1,28.0,0,> 2 Years,Yes,33108.0,26.0,212,0
24,Male,45,1,28.0,0,> 2 Years,Yes,35738.0,26.0,133,1
25,Male,57,1,28.0,0,> 2 Years,Yes,40221.0,26.0,111,1
26,Male,19,1,28.0,0,< 1 Year,No,24513.0,152.0,123,0
27,Male,19,1,28.0,0,< 1 Year,No,28073.0,152.0,139,0
28,Male,56,1,28.0,0,> 2 Years,Yes,36677.0,26.0,79,0
29,Male,45,1,28.0,0,> 2 Years,Yes,39722.0,26.0,68,1
30,Male,24,1,28.0,0,< 1 Year,Yes,29127.0,152.0,224,1
31,Male,52,1,28.0,0,> 2 Years,Yes,39210.0,26.0,111,1
32,Male,36,1,28.0,0,1-2 Year,Yes,33448.0,152.0,187,1
33,Male,25,1,28.0,0,< 1 Year,Yes,28314.0,152.0,96,1
34,Male,23,1,28.0,0,< 1 Year,No,32568.0,152.0,78,0
35,Male,58,1,28.0,0,> 2 Years,Yes,36911.0,26.0,49,0
36,Male,33,1,28.0,0,1-2 Year,Yes,30631.0,152.0,176,1
37,Male,36,1,28.0,0,1-2 Year,Yes,32725.0,152.0,124,1
38,Male,22,1,28.0,0,< 1 Year,No,28619.0,152.0,207,0
39,Male,42,1,28.0,0,> 2 Years,Yes,37496.0,26.0,24,1
40,Male,46,1,28.0,0,> 2 Years,Yes,36637.0,26.0,213,0
41,Male,43,1,28.0,0,> 2 Years,Yes,39722.0,26.0,54,1
42,Male,49,1,28.0,0,> 2 Years,Yes,39105.0,26.0,114,1
43,Male,25,1,28.0,0,< 1 Year,Yes,28566.0,152.0,78,1
44,Male,60,1,28.0,0,> 2 Years,Yes,39722.0,26.0,159,1
45,Male,53,1,28.0,0,> 2 Years,Yes,39105.0,26.0,201,1
46,Male,33,1,28.0,0,1-2 Year,Yes,29701.0,152.0,115,1
47,Male,22,1,28.0,0,< 1 Year,No,28619.0,152.0,207,0
48,Male,42,1,28.0,0,> 2 Years,Yes,37496.0,26.0,24,1
49,Male,46,1,28.0,0,> 2 Years,Yes,36637.0,26.0,213,0
50,Male,43,1,28.0,0,> 2 Years,Yes,39722.0,26.0,54,1
